wconfid,pctid,x,y,z
1,20,1.004,0.09,-0.125
1,20,1.004,-0.043,-0.125
1,20,0.969,0.09,-0.121
1,20,0.973,-0.012,-0.137
1,20,1,-0.016,-0.121
1,20,0.961,0.082,-0.121
1,20,0.973,-0.055,-0.109
1,20,1,0.012,-0.133
1,20,0.969,-0.102,-0.141
1,20,0.973,-0.059,-0.125
1,20,1.012,0.043,-0.133
1,20,0.996,-0.109,-0.148
1,20,0.988,-0.02,-0.125
1,20,1.012,0.043,-0.129
1,20,0.996,-0.09,-0.152
1,20,0.965,-0.102,-0.117
1,20,1.004,0.055,-0.121
1,20,0.988,-0.059,-0.141
1,20,0.969,-0.086,-0.117
1,20,1.039,0.094,-0.117
1,20,0.984,0.113,-0.148
1,20,1.008,0.012,-0.141
1,20,0.996,0.035,-0.141
1,20,0.988,-0.066,-0.125
1,20,0.965,-0.156,-0.113
1,20,0.992,0.059,-0.129
1,20,0.992,-0.031,-0.125
1,20,0.973,-0.133,-0.148
1,20,1.031,0.102,-0.145
1,20,0.984,-0.035,-0.125
1,20,0.984,-0.004,-0.137
1,20,1,0.098,-0.125
1,20,1.031,-0.012,-0.129
1,20,0.965,-0.148,-0.152
1,20,1.012,0.102,-0.129
1,20,1.008,-0.008,-0.133
1,20,0.965,-0.129,-0.164
1,20,1.004,0.145,-0.121
1,20,1.008,0.004,-0.121
1,20,0.984,0.027,-0.121
1,20,1.031,0.07,-0.117
1,20,0.977,-0.051,-0.152
1,20,0.98,-0.094,-0.117
1,20,1.02,0.082,-0.125
1,20,0.98,-0.012,-0.137
1,20,0.977,-0.09,-0.125
1,20,1.023,0.109,-0.109
1,20,0.992,0.008,-0.137
1,20,1.004,0.004,-0.133
1,20,0.996,0.078,-0.133
1,20,1,-0.039,-0.125
1,20,0.965,0.113,-0.117
1,20,0.973,-0.027,-0.117
1,20,1.008,-0.02,-0.121
1,20,0.965,0.09,-0.121
1,20,0.957,-0.047,-0.113
1,20,1.012,-0.004,-0.125
1,20,0.969,-0.051,-0.133
1,20,1,0.121,-0.125
1,20,1.016,0.023,-0.121
1,20,0.988,-0.121,-0.156
1,20,0.992,-0.035,-0.137
1,20,1,0.039,-0.125
1,20,0.992,-0.094,-0.156
1,20,0.969,-0.086,-0.129
1,20,1,0.051,-0.121
1,20,0.984,0.082,-0.148
1,20,1.031,0.102,-0.121
1,20,0.996,0,-0.145
1,20,0.973,-0.09,-0.125
1,20,0.961,-0.023,-0.133
1,20,0.988,0.023,-0.137
1,20,0.984,-0.082,-0.121
1,20,0.965,-0.152,-0.148
1,20,0.992,0.008,-0.129
1,20,0.996,-0.051,-0.121
1,20,0.969,-0.141,-0.148
